gender,prop,position,Trait,plataform
Male,0.655847209309971,All,Mental disorders,genderize.io
Female,0.371316872427984,First,Mental disorders,genderize.io
Male,0.628683127572017,First,Mental disorders,genderize.io
Female,0.260342375450289,Senior,Mental disorders,genderize.io
Male,0.739657624549711,Senior,Mental disorders,genderize.io
Female,0.356481273012907,All,Musculoskeletal disorders,genderize.io
Male,0.643518726987093,All,Musculoskeletal disorders,genderize.io
Female,0.486788617886179,First,Musculoskeletal disorders,genderize.io
Male,0.513211382113821,First,Musculoskeletal disorders,genderize.io
Female,0.36921568627451,Senior,Musculoskeletal disorders,genderize.io
Male,0.63078431372549,Senior,Musculoskeletal disorders,genderize.io
Female,0.35694587371474,All,Neurological disorders,genderize.io
Male,0.64305412628526,All,Neurological disorders,genderize.io
Female,0.367621527777778,First,Neurological disorders,genderize.io
Male,0.632378472222222,First,Neurological disorders,genderize.io
Female,0.244688644688645,Senior,Neurological disorders,genderize.io
Male,0.755311355311355,Senior,Neurological disorders,genderize.io
Female,0.360633565049472,All,Skin disease,genderize.io
Male,0.639366434950528,All,Skin disease,genderize.io
Female,0.418163265306123,First,Skin disease,genderize.io
Male,0.581836734693878,First,Skin disease,genderize.io
Female,0.319508670520231,Senior,Skin disease,genderize.io
Male,0.680491329479769,Senior,Skin disease,genderize.io
Female,0.280593876840174,All,Substance use,genderize.io
Male,0.719406123159826,All,Substance use,genderize.io
Female,0.221014492753623,First,Substance use,genderize.io
Male,0.778985507246377,First,Substance use,genderize.io
Female,0.33,Senior,Substance use,genderize.io
Male,0.67,Senior,Substance use,genderize.io
Female,0.33862203463253,All,All traits,Both
Male,0.66137796536747,All,All traits,Both
Female,0.396592856595781,First,All traits,Both
Male,0.603407143404219,First,All traits,Both
Female,0.249258286549567,Senior,All traits,Both
Male,0.750741713450433,Senior,All traits,Both
Female,0.367146180156384,All,Cancer,Both
Male,0.632853819843616,All,Cancer,Both
Female,0.436431025293276,First,Cancer,Both
Male,0.563568974706724,First,Cancer,Both
Female,0.266569135471575,Senior,Cancer,Both
Male,0.733430864528426,Senior,Cancer,Both
Female,0.322509039904275,All,CVD,Both
Male,0.677490960095725,All,CVD,Both
Female,0.391102512643775,First,CVD,Both
Male,0.608897487356225,First,CVD,Both
Female,0.268650793650794,Senior,CVD,Both
Male,0.731349206349206,Senior,CVD,Both
Female,0.332661159416451,All,Chronic respiratory disease,Both
Male,0.667338840583549,All,Chronic respiratory disease,Both
Female,0.439175798160173,First,Chronic respiratory disease,Both
Male,0.560824201839827,First,Chronic respiratory disease,Both
Female,0.204144965277778,Senior,Chronic respiratory disease,Both
Male,0.795855034722222,Senior,Chronic respiratory disease,Both
Female,0.347502113308099,All,Diabetes and CKD,Both
Male,0.652497886691901,All,Diabetes and CKD,Both
Female,0.399517475221701,First,Diabetes and CKD,Both
Male,0.600482524778299,First,Diabetes and CKD,Both
Female,0.237480438184664,Senior,Diabetes and CKD,Both
Male,0.762519561815337,Senior,Diabetes and CKD,Both
Female,0.310857435904248,All,Digestive diseases,Both
Male,0.689142564095752,All,Digestive diseases,Both
Female,0.358142743357797,First,Digestive diseases,Both
Male,0.641857256642203,First,Digestive diseases,Both
Female,0.208132771760931,Senior,Digestive diseases,Both
Male,0.791867228239069,Senior,Digestive diseases,Both
Female,0.342431886101678,All,Mental disorders,Both
Male,0.657568113898322,All,Mental disorders,Both
Female,0.35984126984127,First,Mental disorders,Both
Male,0.64015873015873,First,Mental disorders,Both
Female,0.262217723453018,Senior,Mental disorders,Both
Male,0.737782276546982,Senior,Mental disorders,Both
Female,0.362144868734216,All,Musculoskeletal disorders,Both
Male,0.637855131265784,All,Musculoskeletal disorders,Both
Female,0.47577519379845,First,Musculoskeletal disorders,Both
Male,0.52422480620155,First,Musculoskeletal disorders,Both
Female,0.343604651162791,Senior,Musculoskeletal disorders,Both
Male,0.656395348837209,Senior,Musculoskeletal disorders,Both
Female,0.355652684103628,All,Neurological disorders,Both
Male,0.644347315896373,All,Neurological disorders,Both
Female,0.367424242424242,First,Neurological disorders,Both
Male,0.632575757575758,First,Neurological disorders,Both
Female,0.239136904761905,Senior,Neurological disorders,Both
Male,0.760863095238095,Senior,Neurological disorders,Both
Female,0.346143804285504,All,Skin disease,Both
Male,0.653856195714496,All,Skin disease,Both
Female,0.377700186219739,First,Skin disease,Both
Male,0.622299813780261,First,Skin disease,Both
Female,0.259269662921348,Senior,Skin disease,Both
Male,0.740730337078652,Senior,Skin disease,Both
Female,0.281895971057248,All,Substance use,Both
Male,0.718104028942752,All,Substance use,Both
Female,0.203333333333333,First,Substance use,Both
Male,0.796666666666667,First,Substance use,Both
Female,0.298076923076923,Senior,Substance use,Both
Male,0.701923076923077,Senior,Substance use,Both
