Country,Prop,ISO2,position,Trait,ISO3,Country_map,popup_info,quants
Finland,1.62355741607813,FI,All,Diabetes and CKD,FIN,Finland,<b>Finland</b><br/>1.62%,6
France,1.51321899272783,FR,All,Diabetes and CKD,FRA,France,<b>France</b><br/>1.51%,6
Singapore,1.50383605348303,SG,All,Diabetes and CKD,SGP,Singapore,<b>Singapore</b><br/>1.5%,6
Italy,1.47020304147586,IT,All,Diabetes and CKD,ITA,Italy,<b>Italy</b><br/>1.47%,6
Iceland,1.27452110396083,IS,All,Diabetes and CKD,ISL,Iceland,<b>Iceland</b><br/>1.27%,6
Netherlands,1.13648090608026,NL,All,Diabetes and CKD,NLD,Netherlands,<b>Netherlands</b><br/>1.14%,6
Spain,1.13642592816806,ES,All,Diabetes and CKD,ESP,Spain,<b>Spain</b><br/>1.14%,6
Mexico,0.988729467288682,MX,All,Diabetes and CKD,MEX,Mexico,<b>Mexico</b><br/>0.99%,6
Norway,0.641844385202399,NO,All,Diabetes and CKD,NOR,Norway,<b>Norway</b><br/>0.64%,5
India,0.613049249042341,IN,All,Diabetes and CKD,IND,India,<b>India</b><br/>0.61%,5
United States,37.9137305146274,US,First,Diabetes and CKD,USA,USA,<b>United States</b><br/>37.91%,8
United Kingdom,14.8878923766816,GB,First,Diabetes and CKD,GBR,UK,<b>United Kingdom</b><br/>14.89%,8
China,9.20884048686739,CN,First,Diabetes and CKD,CHN,China,<b>China</b><br/>9.21%,8
Japan,8.0183642963912,JP,First,Diabetes and CKD,JPN,Japan,<b>Japan</b><br/>8.02%,8
Germany,4.45227418321589,DE,First,Diabetes and CKD,DEU,Germany,<b>Germany</b><br/>4.45%,8
South Korea,3.91736066623959,KR,First,Diabetes and CKD,KOR,South Korea,<b>South Korea</b><br/>3.92%,7
Canada,2.84005979073244,CA,First,Diabetes and CKD,CAN,Canada,<b>Canada</b><br/>2.84%,7
Spain,2.46636771300448,ES,First,Diabetes and CKD,ESP,Spain,<b>Spain</b><br/>2.47%,7
Finland,2.3542600896861,FI,First,Diabetes and CKD,FIN,Finland,<b>Finland</b><br/>2.35%,7
Australia,2.13004484304933,AU,First,Diabetes and CKD,AUS,Australia,<b>Australia</b><br/>2.13%,7
Denmark,2.05530642750374,DK,First,Diabetes and CKD,DNK,Denmark,<b>Denmark</b><br/>2.06%,7
France,1.6965620328849,FR,First,Diabetes and CKD,FRA,France,<b>France</b><br/>1.7%,6
Iceland,1.43497757847534,IS,First,Diabetes and CKD,ISL,Iceland,<b>Iceland</b><br/>1.43%,6
Italy,1.32286995515695,IT,First,Diabetes and CKD,ITA,Italy,<b>Italy</b><br/>1.32%,6
Singapore,1.1157377749306,SG,First,Diabetes and CKD,SGP,Singapore,<b>Singapore</b><br/>1.12%,6
Sweden,0.896860986547085,SE,First,Diabetes and CKD,SWE,Sweden,<b>Sweden</b><br/>0.9%,6
Norway,0.523168908819133,NO,First,Diabetes and CKD,NOR,Norway,<b>Norway</b><br/>0.52%,5
India,0.448430493273543,IN,First,Diabetes and CKD,IND,India,<b>India</b><br/>0.45%,5
Latvia,0.448430493273543,LV,First,Diabetes and CKD,LVA,Latvia,<b>Latvia</b><br/>0.45%,5
Lebanon,0.448430493273543,LB,First,Diabetes and CKD,LBN,Lebanon,<b>Lebanon</b><br/>0.45%,5
Mexico,0.448430493273543,MX,First,Diabetes and CKD,MEX,Mexico,<b>Mexico</b><br/>0.45%,5
United States,40.9902840059791,US,Senior,Diabetes and CKD,USA,USA,<b>United States</b><br/>40.99%,8
United Kingdom,13.6976831091181,GB,Senior,Diabetes and CKD,GBR,UK,<b>United Kingdom</b><br/>13.7%,8
Japan,8.35762331838565,JP,Senior,Diabetes and CKD,JPN,Japan,<b>Japan</b><br/>8.36%,8
China,7.98766816143498,CN,Senior,Diabetes and CKD,CHN,China,<b>China</b><br/>7.99%,8
Germany,5.05979073243647,DE,Senior,Diabetes and CKD,DEU,Germany,<b>Germany</b><br/>5.06%,8
South Korea,3.76121076233184,KR,Senior,Diabetes and CKD,KOR,South Korea,<b>South Korea</b><br/>3.76%,7
Canada,3.1390134529148,CA,Senior,Diabetes and CKD,CAN,Canada,<b>Canada</b><br/>3.14%,7
Australia,2.77279521674141,AU,Senior,Diabetes and CKD,AUS,Australia,<b>Australia</b><br/>2.77%,7
Spain,2.01793721973094,ES,Senior,Diabetes and CKD,ESP,Spain,<b>Spain</b><br/>2.02%,6
France,1.75635276532138,FR,Senior,Diabetes and CKD,FRA,France,<b>France</b><br/>1.76%,6
Iceland,1.40134529147982,IS,Senior,Diabetes and CKD,ISL,Iceland,<b>Iceland</b><br/>1.4%,6
Singapore,1.26681614349776,SG,Senior,Diabetes and CKD,SGP,Singapore,<b>Singapore</b><br/>1.27%,6
Denmark,1.15844544095665,DK,Senior,Diabetes and CKD,DNK,Denmark,<b>Denmark</b><br/>1.16%,6
Finland,1.07249626307922,FI,Senior,Diabetes and CKD,FIN,Finland,<b>Finland</b><br/>1.07%,6
Sweden,1.02765321375187,SE,Senior,Diabetes and CKD,SWE,Sweden,<b>Sweden</b><br/>1.03%,6
Italy,0.799701046337818,IT,Senior,Diabetes and CKD,ITA,Italy,<b>Italy</b><br/>0.8%,5
Norway,0.747384155455904,NO,Senior,Diabetes and CKD,NOR,Norway,<b>Norway</b><br/>0.75%,5
Mexico,0.672645739910314,MX,Senior,Diabetes and CKD,MEX,Mexico,<b>Mexico</b><br/>0.67%,5
India,0.448430493273543,IN,Senior,Diabetes and CKD,IND,India,<b>India</b><br/>0.45%,5
Israel,0.448430493273543,IL,Senior,Diabetes and CKD,ISR,Israel,<b>Israel</b><br/>0.45%,5
Latvia,0.448430493273543,LV,Senior,Diabetes and CKD,LVA,Latvia,<b>Latvia</b><br/>0.45%,5
United States,30.8731275168077,US,All,Digestive diseases,USA,USA,<b>United States</b><br/>30.87%,8
China,11.975055957558,CN,All,Digestive diseases,CHN,China,<b>China</b><br/>11.98%,8
United Kingdom,10.8556062665261,GB,All,Digestive diseases,GBR,UK,<b>United Kingdom</b><br/>10.86%,8
Japan,9.52304502198876,JP,All,Digestive diseases,JPN,Japan,<b>Japan</b><br/>9.52%,8
Germany,4.97903680822268,DE,All,Digestive diseases,DEU,Germany,<b>Germany</b><br/>4.98%,8
South Korea,4.2911714241624,KR,All,Digestive diseases,KOR,South Korea,<b>South Korea</b><br/>4.29%,8
Canada,3.82348282171585,CA,All,Digestive diseases,CAN,Canada,<b>Canada</b><br/>3.82%,7
Spain,2.26065474975984,ES,All,Digestive diseases,ESP,Spain,<b>Spain</b><br/>2.26%,7
Australia,2.25614473171973,AU,All,Digestive diseases,AUS,Australia,<b>Australia</b><br/>2.26%,7
Netherlands,2.18495584959086,NL,All,Digestive diseases,NLD,Netherlands,<b>Netherlands</b><br/>2.18%,7
Sweden,1.95542382164843,SE,All,Digestive diseases,SWE,Sweden,<b>Sweden</b><br/>1.96%,6
Denmark,1.65494608449105,DK,All,Digestive diseases,DNK,Denmark,<b>Denmark</b><br/>1.65%,6
France,1.56058384796584,FR,All,Digestive diseases,FRA,France,<b>France</b><br/>1.56%,6
Italy,1.50965109621321,IT,All,Digestive diseases,ITA,Italy,<b>Italy</b><br/>1.51%,6
Finland,1.31590143904666,FI,All,Digestive diseases,FIN,Finland,<b>Finland</b><br/>1.32%,6
India,0.846441677607987,IN,All,Digestive diseases,IND,India,<b>India</b><br/>0.85%,6
Iceland,0.789309797048393,IS,All,Digestive diseases,ISL,Iceland,<b>Iceland</b><br/>0.79%,5
Singapore,0.762830080682802,SG,All,Digestive diseases,SGP,Singapore,<b>Singapore</b><br/>0.76%,5
Switzerland,0.531791583508945,CH,All,Digestive diseases,CHE,Switzerland,<b>Switzerland</b><br/>0.53%,5
Norway,0.47779501979966,NO,All,Digestive diseases,NOR,Norway,<b>Norway</b><br/>0.48%,5
United States,32.5886699507389,US,First,Digestive diseases,USA,USA,<b>United States</b><br/>32.59%,8
United Kingdom,12.8206075533662,GB,First,Digestive diseases,GBR,UK,<b>United Kingdom</b><br/>12.82%,8
China,12.1843185550082,CN,First,Digestive diseases,CHN,China,<b>China</b><br/>12.18%,8
Japan,9.376026272578,JP,First,Digestive diseases,JPN,Japan,<b>Japan</b><br/>9.38%,8
Germany,4.37931034482759,DE,First,Digestive diseases,DEU,Germany,<b>Germany</b><br/>4.38%,8
South Korea,4.12110016420361,KR,First,Digestive diseases,KOR,South Korea,<b>South Korea</b><br/>4.12%,7
Canada,4.01026272577997,CA,First,Digestive diseases,CAN,Canada,<b>Canada</b><br/>4.01%,7
Spain,2.78735632183908,ES,First,Digestive diseases,ESP,Spain,<b>Spain</b><br/>2.79%,7
Australia,2.05459770114943,AU,First,Digestive diseases,AUS,Australia,<b>Australia</b><br/>2.05%,7
Netherlands,1.98850574712644,NL,First,Digestive diseases,NLD,Netherlands,<b>Netherlands</b><br/>1.99%,6
Sweden,1.74425287356322,SE,First,Digestive diseases,SWE,Sweden,<b>Sweden</b><br/>1.74%,6
France,1.71551724137931,FR,First,Digestive diseases,FRA,France,<b>France</b><br/>1.72%,6
Finland,1.37931034482759,FI,First,Digestive diseases,FIN,Finland,<b>Finland</b><br/>1.38%,6
Denmark,1.30747126436782,DK,First,Digestive diseases,DNK,Denmark,<b>Denmark</b><br/>1.31%,6
Italy,1.04474548440066,IT,First,Digestive diseases,ITA,Italy,<b>Italy</b><br/>1.04%,6
Iceland,0.810344827586207,IS,First,Digestive diseases,ISL,Iceland,<b>Iceland</b><br/>0.81%,5
India,0.775862068965517,IN,First,Digestive diseases,IND,India,<b>India</b><br/>0.78%,5
Norway,0.603448275862069,NO,First,Digestive diseases,NOR,Norway,<b>Norway</b><br/>0.6%,5
Singapore,0.515188834154352,SG,First,Digestive diseases,SGP,Singapore,<b>Singapore</b><br/>0.52%,5
Saudi Arabia,0.488505747126437,SA,First,Digestive diseases,SAU,Saudi Arabia,<b>Saudi Arabia</b><br/>0.49%,5
United States,33.6710255304881,US,Senior,Digestive diseases,USA,USA,<b>United States</b><br/>33.67%,8
United Kingdom,13.2109498491163,GB,Senior,Digestive diseases,GBR,UK,<b>United Kingdom</b><br/>13.21%,8
China,11.3055036643196,CN,Senior,Digestive diseases,CHN,China,<b>China</b><br/>11.31%,8
Japan,9.41586434832591,JP,Senior,Digestive diseases,JPN,Japan,<b>Japan</b><br/>9.42%,8
Germany,4.54950423911482,DE,Senior,Digestive diseases,DEU,Germany,<b>Germany</b><br/>4.55%,8
Canada,4.14331561048043,CA,Senior,Digestive diseases,CAN,Canada,<b>Canada</b><br/>4.14%,7
South Korea,4.03290702687168,KR,Senior,Digestive diseases,KOR,South Korea,<b>South Korea</b><br/>4.03%,7
Spain,2.51472912774824,ES,Senior,Digestive diseases,ESP,Spain,<b>Spain</b><br/>2.51%,7
Australia,2.22445753700244,AU,Senior,Digestive diseases,AUS,Australia,<b>Australia</b><br/>2.22%,7
Netherlands,1.80820999185707,NL,Senior,Digestive diseases,NLD,Netherlands,<b>Netherlands</b><br/>1.81%,6
France,1.79623509124874,FR,Senior,Digestive diseases,FRA,France,<b>France</b><br/>1.8%,6
Sweden,1.65972122431384,SE,Senior,Digestive diseases,SWE,Sweden,<b>Sweden</b><br/>1.66%,6
Denmark,1.28370934521243,DK,Senior,Digestive diseases,DNK,Denmark,<b>Denmark</b><br/>1.28%,6
Iceland,1.09929587584423,IS,Senior,Digestive diseases,ISL,Iceland,<b>Iceland</b><br/>1.1%,6
Finland,0.998706710734301,FI,Senior,Digestive diseases,FIN,Finland,<b>Finland</b><br/>1%,6
India,0.747233797959477,IN,Senior,Digestive diseases,IND,India,<b>India</b><br/>0.75%,5
Singapore,0.731426929156488,SG,Senior,Digestive diseases,SGP,Singapore,<b>Singapore</b><br/>0.73%,5
Italy,0.704124155769507,IT,Senior,Digestive diseases,ITA,Italy,<b>Italy</b><br/>0.7%,5
Norway,0.488575944819658,NO,Senior,Digestive diseases,NOR,Norway,<b>Norway</b><br/>0.49%,5
Ireland,0.402356660439718,IE,Senior,Digestive diseases,IRL,Ireland,<b>Ireland</b><br/>0.4%,5
United States,46.3449633066278,US,All,Mental disorders,USA,USA,<b>United States</b><br/>46.34%,8
United Kingdom,10.2565583168059,GB,All,Mental disorders,GBR,UK,<b>United Kingdom</b><br/>10.26%,8
China,6.19616261032477,CN,All,Mental disorders,CHN,China,<b>China</b><br/>6.2%,8
Germany,5.763798511911,DE,All,Mental disorders,DEU,Germany,<b>Germany</b><br/>5.76%,8
Japan,4.24038317983799,JP,All,Mental disorders,JPN,Japan,<b>Japan</b><br/>4.24%,7
Netherlands,3.2056733774052,NL,All,Mental disorders,NLD,Netherlands,<b>Netherlands</b><br/>3.21%,7
Australia,2.53448626571299,AU,All,Mental disorders,AUS,Australia,<b>Australia</b><br/>2.53%,7
Spain,2.0694047241042,ES,All,Mental disorders,ESP,Spain,<b>Spain</b><br/>2.07%,7
Norway,2.05381914228986,NO,All,Mental disorders,NOR,Norway,<b>Norway</b><br/>2.05%,7
South Korea,2.01643243003616,KR,All,Mental disorders,KOR,South Korea,<b>South Korea</b><br/>2.02%,6
Denmark,1.77660958974655,DK,All,Mental disorders,DNK,Denmark,<b>Denmark</b><br/>1.78%,6
Sweden,1.48690389432744,SE,All,Mental disorders,SWE,Sweden,<b>Sweden</b><br/>1.49%,6
Italy,1.39326443068193,IT,All,Mental disorders,ITA,Italy,<b>Italy</b><br/>1.39%,6
Canada,1.36865754108627,CA,All,Mental disorders,CAN,Canada,<b>Canada</b><br/>1.37%,6
France,1.12694628194009,FR,All,Mental disorders,FRA,France,<b>France</b><br/>1.13%,6
Finland,0.901293794281081,FI,All,Mental disorders,FIN,Finland,<b>Finland</b><br/>0.9%,6
Taiwan,0.838842189584501,TW,All,Mental disorders,TWN,Taiwan,<b>Taiwan</b><br/>0.84%,6
Iceland,0.710909922986403,IS,All,Mental disorders,ISL,Iceland,<b>Iceland</b><br/>0.71%,5
Switzerland,0.637888622296025,CH,All,Mental disorders,CHE,Switzerland,<b>Switzerland</b><br/>0.64%,5
Ireland,0.541513625054356,IE,All,Mental disorders,IRL,Ireland,<b>Ireland</b><br/>0.54%,5
United States,48.5712672602917,US,First,Mental disorders,USA,USA,<b>United States</b><br/>48.57%,8
United Kingdom,11.5040650406504,GB,First,Mental disorders,GBR,UK,<b>United Kingdom</b><br/>11.5%,8
China,6.61415989159892,CN,First,Mental disorders,CHN,China,<b>China</b><br/>6.61%,8
Germany,4.17118337850045,DE,First,Mental disorders,DEU,Germany,<b>Germany</b><br/>4.17%,7
Japan,4.03624661246612,JP,First,Mental disorders,JPN,Japan,<b>Japan</b><br/>4.04%,7
Netherlands,3.71499548328817,NL,First,Mental disorders,NLD,Netherlands,<b>Netherlands</b><br/>3.71%,7
Australia,2.8099593495935,AU,First,Mental disorders,AUS,Australia,<b>Australia</b><br/>2.81%,7
South Korea,2.03252032520325,KR,First,Mental disorders,KOR,South Korea,<b>South Korea</b><br/>2.03%,7
Norway,1.96476964769648,NO,First,Mental disorders,NOR,Norway,<b>Norway</b><br/>1.96%,6
Spain,1.84620596205962,ES,First,Mental disorders,ESP,Spain,<b>Spain</b><br/>1.85%,6
Denmark,1.76151761517615,DK,First,Mental disorders,DNK,Denmark,<b>Denmark</b><br/>1.76%,6
France,1.28726287262873,FR,First,Mental disorders,FRA,France,<b>France</b><br/>1.29%,6
Canada,1.23564330881404,CA,First,Mental disorders,CAN,Canada,<b>Canada</b><br/>1.24%,6
Sweden,0.907859078590786,SE,First,Mental disorders,SWE,Sweden,<b>Sweden</b><br/>0.91%,6
Italy,0.745257452574526,IT,First,Mental disorders,ITA,Italy,<b>Italy</b><br/>0.75%,5
Ireland,0.711382113821138,IE,First,Mental disorders,IRL,Ireland,<b>Ireland</b><br/>0.71%,5
Taiwan,0.685975609756098,TW,First,Mental disorders,TWN,Taiwan,<b>Taiwan</b><br/>0.69%,5
Finland,0.660569105691057,FI,First,Mental disorders,FIN,Finland,<b>Finland</b><br/>0.66%,5
Iceland,0.609756097560976,IS,First,Mental disorders,ISL,Iceland,<b>Iceland</b><br/>0.61%,5
South Africa,0.609756097560976,ZA,First,Mental disorders,ZAF,South Africa,<b>South Africa</b><br/>0.61%,5
United States,50.0658031391102,US,Senior,Mental disorders,USA,USA,<b>United States</b><br/>50.07%,8
United Kingdom,10.6489363203885,GB,Senior,Mental disorders,GBR,UK,<b>United Kingdom</b><br/>10.65%,8
China,6.02492977032426,CN,Senior,Mental disorders,CHN,China,<b>China</b><br/>6.02%,8
Japan,4.4212933553551,JP,Senior,Mental disorders,JPN,Japan,<b>Japan</b><br/>4.42%,8
Germany,4.05688553319096,DE,Senior,Mental disorders,DEU,Germany,<b>Germany</b><br/>4.06%,7
Netherlands,3.76168898084792,NL,Senior,Mental disorders,NLD,Netherlands,<b>Netherlands</b><br/>3.76%,7
Norway,2.61550840638631,NO,Senior,Mental disorders,NOR,Norway,<b>Norway</b><br/>2.62%,7
Australia,2.5579130140177,AU,Senior,Mental disorders,AUS,Australia,<b>Australia</b><br/>2.56%,7
Spain,1.86580031580667,ES,Senior,Mental disorders,ESP,Spain,<b>Spain</b><br/>1.87%,6
South Korea,1.84644052005251,KR,Senior,Mental disorders,KOR,South Korea,<b>South Korea</b><br/>1.85%,6
Sweden,1.51357303180451,SE,Senior,Mental disorders,SWE,Sweden,<b>Sweden</b><br/>1.51%,6
Denmark,1.41532206835218,DK,Senior,Mental disorders,DNK,Denmark,<b>Denmark</b><br/>1.42%,6
France,1.07930861329413,FR,Senior,Mental disorders,FRA,France,<b>France</b><br/>1.08%,6
Canada,1.03332909837801,CA,Senior,Mental disorders,CAN,Canada,<b>Canada</b><br/>1.03%,6
Taiwan,0.863930885529158,TW,Senior,Mental disorders,TWN,Taiwan,<b>Taiwan</b><br/>0.86%,6
Israel,0.813111421674501,IL,Senior,Mental disorders,ISR,Israel,<b>Israel</b><br/>0.81%,5
Italy,0.643713208825647,IT,Senior,Mental disorders,ITA,Italy,<b>Italy</b><br/>0.64%,5
Finland,0.609833566255876,FI,Senior,Mental disorders,FIN,Finland,<b>Finland</b><br/>0.61%,5
South Africa,0.609833566255876,ZA,Senior,Mental disorders,ZAF,South Africa,<b>South Africa</b><br/>0.61%,5
Iceland,0.548850209630288,IS,Senior,Mental disorders,ISL,Iceland,<b>Iceland</b><br/>0.55%,5
United Kingdom,21.9343164606527,GB,All,Musculoskeletal disorders,GBR,UK,<b>United Kingdom</b><br/>21.93%,8
United States,20.4094527373093,US,All,Musculoskeletal disorders,USA,USA,<b>United States</b><br/>20.41%,8
Spain,8.90455270872216,ES,All,Musculoskeletal disorders,ESP,Spain,<b>Spain</b><br/>8.9%,8
Netherlands,8.5167215753625,NL,All,Musculoskeletal disorders,NLD,Netherlands,<b>Netherlands</b><br/>8.52%,8
Japan,6.82362713340447,JP,All,Musculoskeletal disorders,JPN,Japan,<b>Japan</b><br/>6.82%,8
South Korea,4.90623323402387,KR,All,Musculoskeletal disorders,KOR,South Korea,<b>South Korea</b><br/>4.91%,8
Iceland,3.72968938764272,IS,All,Musculoskeletal disorders,ISL,Iceland,<b>Iceland</b><br/>3.73%,7
Sweden,3.66119013593195,SE,All,Musculoskeletal disorders,SWE,Sweden,<b>Sweden</b><br/>3.66%,7
Germany,2.52975040397706,DE,All,Musculoskeletal disorders,DEU,Germany,<b>Germany</b><br/>2.53%,7
Australia,2.48768603061796,AU,All,Musculoskeletal disorders,AUS,Australia,<b>Australia</b><br/>2.49%,7
China,2.37897657910809,CN,All,Musculoskeletal disorders,CHN,China,<b>China</b><br/>2.38%,7
Canada,1.21258089993291,CA,All,Musculoskeletal disorders,CAN,Canada,<b>Canada</b><br/>1.21%,6
Egypt,1.0989010989011,EG,All,Musculoskeletal disorders,EGY,Egypt,<b>Egypt</b><br/>1.1%,6
India,1.00193923723335,IN,All,Musculoskeletal disorders,IND,India,<b>India</b><br/>1%,6
Malaysia,0.840336134453782,MY,All,Musculoskeletal disorders,MYS,Malaysia,<b>Malaysia</b><br/>0.84%,6
Norway,0.76707377929352,NO,All,Musculoskeletal disorders,NOR,Norway,<b>Norway</b><br/>0.77%,5
South Africa,0.747450747450747,ZA,All,Musculoskeletal disorders,ZAF,South Africa,<b>South Africa</b><br/>0.75%,5
Denmark,0.734674544075584,DK,All,Musculoskeletal disorders,DNK,Denmark,<b>Denmark</b><br/>0.73%,5
Singapore,0.731212871231268,SG,All,Musculoskeletal disorders,SGP,Singapore,<b>Singapore</b><br/>0.73%,5
Belgium,0.663815978059298,BE,All,Musculoskeletal disorders,BEL,Belgium,<b>Belgium</b><br/>0.66%,5
United States,21.978021978022,US,First,Musculoskeletal disorders,USA,USA,<b>United States</b><br/>21.98%,8
United Kingdom,21.4285714285714,GB,First,Musculoskeletal disorders,GBR,UK,<b>United Kingdom</b><br/>21.43%,8
Spain,10.989010989011,ES,First,Musculoskeletal disorders,ESP,Spain,<b>Spain</b><br/>10.99%,8
Netherlands,7.78388278388278,NL,First,Musculoskeletal disorders,NLD,Netherlands,<b>Netherlands</b><br/>7.78%,8
Japan,7.05128205128205,JP,First,Musculoskeletal disorders,JPN,Japan,<b>Japan</b><br/>7.05%,8
Germany,4.21245421245421,DE,First,Musculoskeletal disorders,DEU,Germany,<b>Germany</b><br/>4.21%,7
Australia,3.84615384615385,AU,First,Musculoskeletal disorders,AUS,Australia,<b>Australia</b><br/>3.85%,7
South Korea,3.84615384615385,KR,First,Musculoskeletal disorders,KOR,South Korea,<b>South Korea</b><br/>3.85%,7
Iceland,3.75457875457875,IS,First,Musculoskeletal disorders,ISL,Iceland,<b>Iceland</b><br/>3.75%,7
China,2.74725274725275,CN,First,Musculoskeletal disorders,CHN,China,<b>China</b><br/>2.75%,7
Sweden,2.74725274725275,SE,First,Musculoskeletal disorders,SWE,Sweden,<b>Sweden</b><br/>2.75%,7
Denmark,1.0989010989011,DK,First,Musculoskeletal disorders,DNK,Denmark,<b>Denmark</b><br/>1.1%,6
Egypt,1.0989010989011,EG,First,Musculoskeletal disorders,EGY,Egypt,<b>Egypt</b><br/>1.1%,6
India,1.0989010989011,IN,First,Musculoskeletal disorders,IND,India,<b>India</b><br/>1.1%,6
Italy,1.0989010989011,IT,First,Musculoskeletal disorders,ITA,Italy,<b>Italy</b><br/>1.1%,6
South Africa,1.0989010989011,ZA,First,Musculoskeletal disorders,ZAF,South Africa,<b>South Africa</b><br/>1.1%,6
Greece,0.915750915750916,GR,First,Musculoskeletal disorders,GRC,Greece,<b>Greece</b><br/>0.92%,6
Norway,0.732600732600733,NO,First,Musculoskeletal disorders,NOR,Norway,<b>Norway</b><br/>0.73%,5
Canada,0.54945054945055,CA,First,Musculoskeletal disorders,CAN,Canada,<b>Canada</b><br/>0.55%,5
Malaysia,0.54945054945055,MY,First,Musculoskeletal disorders,MYS,Malaysia,<b>Malaysia</b><br/>0.55%,5
New Zealand,0.54945054945055,NZ,First,Musculoskeletal disorders,NZL,New Zealand,<b>New Zealand</b><br/>0.55%,5
United Kingdom,25.8241758241758,GB,Senior,Musculoskeletal disorders,GBR,UK,<b>United Kingdom</b><br/>25.82%,8
United States,21.043956043956,US,Senior,Musculoskeletal disorders,USA,USA,<b>United States</b><br/>21.04%,8
Spain,9.06593406593407,ES,Senior,Musculoskeletal disorders,ESP,Spain,<b>Spain</b><br/>9.07%,8
Netherlands,6.68498168498169,NL,Senior,Musculoskeletal disorders,NLD,Netherlands,<b>Netherlands</b><br/>6.68%,8
Japan,6.31868131868132,JP,Senior,Musculoskeletal disorders,JPN,Japan,<b>Japan</b><br/>6.32%,8
South Korea,4.94505494505495,KR,Senior,Musculoskeletal disorders,KOR,South Korea,<b>South Korea</b><br/>4.95%,8
Australia,4.3956043956044,AU,Senior,Musculoskeletal disorders,AUS,Australia,<b>Australia</b><br/>4.4%,8
Germany,4.3956043956044,DE,Senior,Musculoskeletal disorders,DEU,Germany,<b>Germany</b><br/>4.4%,8
Sweden,3.73626373626374,SE,Senior,Musculoskeletal disorders,SWE,Sweden,<b>Sweden</b><br/>3.74%,7
Iceland,3.47985347985348,IS,Senior,Musculoskeletal disorders,ISL,Iceland,<b>Iceland</b><br/>3.48%,7
South Africa,1.64835164835165,ZA,Senior,Musculoskeletal disorders,ZAF,South Africa,<b>South Africa</b><br/>1.65%,6
China,1.37362637362637,CN,Senior,Musculoskeletal disorders,CHN,China,<b>China</b><br/>1.37%,6
Denmark,1.0989010989011,DK,Senior,Musculoskeletal disorders,DNK,Denmark,<b>Denmark</b><br/>1.1%,6
Egypt,1.0989010989011,EG,Senior,Musculoskeletal disorders,EGY,Egypt,<b>Egypt</b><br/>1.1%,6
India,1.0989010989011,IN,Senior,Musculoskeletal disorders,IND,India,<b>India</b><br/>1.1%,6
Qatar,1.0989010989011,QA,Senior,Musculoskeletal disorders,QAT,Qatar,<b>Qatar</b><br/>1.1%,6
Canada,0.769230769230769,CA,Senior,Musculoskeletal disorders,CAN,Canada,<b>Canada</b><br/>0.77%,5
Turkey,0.54945054945055,TR,Senior,Musculoskeletal disorders,TUR,Turkey,<b>Turkey</b><br/>0.55%,5
Belgium,0.366300366300366,BE,Senior,Musculoskeletal disorders,BEL,Belgium,<b>Belgium</b><br/>0.37%,4
Greece,0.366300366300366,GR,Senior,Musculoskeletal disorders,GRC,Greece,<b>Greece</b><br/>0.37%,4
Norway,0.366300366300366,NO,Senior,Musculoskeletal disorders,NOR,Norway,<b>Norway</b><br/>0.37%,4
United States,46.1505242124801,US,All,Neurological disorders,USA,USA,<b>United States</b><br/>46.15%,8
United Kingdom,8.74483248381064,GB,All,Neurological disorders,GBR,UK,<b>United Kingdom</b><br/>8.74%,8
Germany,5.03225048756391,DE,All,Neurological disorders,DEU,Germany,<b>Germany</b><br/>5.03%,8
China,4.59420478684177,CN,All,Neurological disorders,CHN,China,<b>China</b><br/>4.59%,8
Italy,3.66629390065991,IT,All,Neurological disorders,ITA,Italy,<b>Italy</b><br/>3.67%,7
Japan,3.54017327682462,JP,All,Neurological disorders,JPN,Japan,<b>Japan</b><br/>3.54%,7
South Korea,3.22992258123897,KR,All,Neurological disorders,KOR,South Korea,<b>South Korea</b><br/>3.23%,7
Spain,3.16411964462278,ES,All,Neurological disorders,ESP,Spain,<b>Spain</b><br/>3.16%,7
Netherlands,3.11088156808816,NL,All,Neurological disorders,NLD,Netherlands,<b>Netherlands</b><br/>3.11%,7
Australia,2.81148027499398,AU,All,Neurological disorders,AUS,Australia,<b>Australia</b><br/>2.81%,7
Norway,2.597058050131,NO,All,Neurological disorders,NOR,Norway,<b>Norway</b><br/>2.6%,7
France,2.00536785067206,FR,All,Neurological disorders,FRA,France,<b>France</b><br/>2.01%,6
Canada,1.39271676164331,CA,All,Neurological disorders,CAN,Canada,<b>Canada</b><br/>1.39%,6
Finland,1.25632006117815,FI,All,Neurological disorders,FIN,Finland,<b>Finland</b><br/>1.26%,6
Belgium,1.06769683470538,BE,All,Neurological disorders,BEL,Belgium,<b>Belgium</b><br/>1.07%,6
Sweden,1.05503670325158,SE,All,Neurological disorders,SWE,Sweden,<b>Sweden</b><br/>1.06%,6
Denmark,0.907809583547477,DK,All,Neurological disorders,DNK,Denmark,<b>Denmark</b><br/>0.91%,6
Turkey,0.784478438588028,TR,All,Neurological disorders,TUR,Turkey,<b>Turkey</b><br/>0.78%,5
Israel,0.699969561059733,IL,All,Neurological disorders,ISR,Israel,<b>Israel</b><br/>0.7%,5
Poland,0.549081739477907,PL,All,Neurological disorders,POL,Poland,<b>Poland</b><br/>0.55%,5
United States,49.9809741248097,US,First,Neurological disorders,USA,USA,<b>United States</b><br/>49.98%,8
United Kingdom,9.34170471841705,GB,First,Neurological disorders,GBR,UK,<b>United Kingdom</b><br/>9.34%,8
